DateTime,ADATUNCO_GAGE_HT,ADATUNCO_DISCHRG
2018-10-05 05,2.9,321
2018-10-05 06,2.9,321
2018-10-05 07,2.91,323
2018-10-05 08,2.91,323.5
2018-10-05 09,2.91,323.5
2018-10-05 10,2.92,324
2018-10-05 11,2.89,319.25
2018-10-05 12,2.87,315.5
2018-10-05 13,2.86,314.5
2018-10-05 14,2.87,315
2018-10-05 15,2.86,313.5
2018-10-05 16,2.86,313.75
2018-10-05 17,2.85,313.25
2018-10-05 18,2.85,313
2018-10-05 19,2.85,312.5
2018-10-05 20,2.84,311
2018-10-05 21,2.84,311.5
2018-10-05 22,2.84,311
2018-10-05 23,2.84,311
2018-10-06 00,2.88,318.25
2018-10-06 01,2.86,314.5
2018-10-06 02,2.13,198.5
2018-10-06 03,1.24,84.7
2018-10-06 04,1.01,60.65
2018-10-06 05,0.99,58.8
2018-10-06 06,0.99,58.55
2018-10-06 07,0.97,57.13
2018-10-06 08,0.98,57.58
2018-10-06 09,0.96,56
2018-10-06 10,0.95,55.1
2018-10-06 11,0.95,55.1
2018-10-06 12,0.95,55.1
2018-10-06 13,0.95,55.1
2018-10-06 14,0.95,55.1
2018-10-06 15,0.95,55.1
2018-10-06 16,0.95,55.1
2018-10-06 17,0.95,55.1
2018-10-06 18,0.95,55.1
2018-10-06 19,0.95,55.1
2018-10-06 20,0.95,55.1
2018-10-06 21,0.95,55.1
2018-10-06 22,0.95,55.1
2018-10-06 23,0.95,55.1
2018-10-07 00,0.95,55.1
2018-10-07 01,0.95,55.1
2018-10-07 02,0.95,55.1
2018-10-07 03,0.95,55.1
2018-10-07 04,0.95,55.1
2018-10-07 05,0.95,55.1
2018-10-07 06,0.95,55.1
2018-10-07 07,0.95,55.1
2018-10-07 08,0.95,55.1
2018-10-07 09,0.95,55.1
2018-10-07 10,0.95,55.1
2018-10-07 11,0.95,55.1
2018-10-07 12,0.95,55.1
2018-10-07 13,0.95,55.1
2018-10-07 14,0.95,55.1
2018-10-07 15,0.95,55.1
2018-10-07 16,0.95,55.1
2018-10-07 17,0.95,55.1
2018-10-07 18,0.95,55.1
2018-10-07 19,0.95,55.1
2018-10-07 20,0.95,55.1
2018-10-07 21,0.95,55.1
2018-10-07 22,0.95,55.1
2018-10-07 23,0.95,55.1
2018-10-08 00,0.95,55.1
2018-10-08 01,0.95,55.1
2018-10-08 02,0.95,55.1
2018-10-08 03,0.95,55.1
2018-10-08 04,0.95,55.1
2018-10-08 05,0.95,55.1
2018-10-08 06,0.95,55.1
2018-10-08 07,0.95,55.1
2018-10-08 08,0.95,55.1
2018-10-08 09,0.95,55.1
2018-10-08 10,0.95,55.1
2018-10-08 11,0.97,56.93
2018-10-08 12,0.99,58.8
2018-10-08 13,0.99,58.8
2018-10-08 14,1,59.25
2018-10-08 15,1,59.7
2018-10-08 16,1,59.48
2018-10-08 17,0.99,59.03
2018-10-08 18,0.98,57.85
2018-10-08 19,0.93,53.53
2018-10-08 20,0.98,57.35
2018-10-08 21,0.99,58.3
2018-10-08 22,0.98,58.05
2018-10-08 23,0.98,58.05
2018-10-09 00,0.99,58.3
2018-10-09 01,0.99,58.55
2018-10-09 02,0.99,58.3
2018-10-09 03,0.97,57.13
2018-10-09 04,0.97,56.9
2018-10-09 05,0.97,56.9
2018-10-09 06,0.97,56.9
2018-10-09 07,0.97,56.9
2018-10-09 08,0.97,56.9
2018-10-09 09,0.98,57.35
2018-10-09 10,0.98,57.58
2018-10-09 11,0.98,57.8
2018-10-09 12,0.97,57.35
2018-10-09 13,0.98,57.8
2018-10-09 14,0.97,57.35
2018-10-09 15,0.98,57.35
2018-10-09 16,0.98,57.8
2018-10-09 17,0.98,57.58
2018-10-09 18,0.97,56.9
2018-10-09 19,0.97,56.9
2018-10-09 20,0.97,56.9
2018-10-09 21,0.97,57.13
2018-10-09 22,0.97,56.9
2018-10-09 23,0.97,56.9
2018-10-10 00,0.97,56.9
2018-10-10 01,0.98,57.8
2018-10-10 02,1.34,95.58
2018-10-10 03,1.76,145
2018-10-10 04,2.42,242
2018-10-10 05,2.75,294.25
2018-10-10 06,2.77,297.75
2018-10-10 07,2.78,299
2018-10-10 08,2.77,298
2018-10-10 09,2.77,298.5
2018-10-10 10,2.78,299
2018-10-10 11,2.78,299.5
2018-10-10 12,2.77,298
2018-10-10 13,2.78,299
2018-10-10 14,2.78,299.5
2018-10-10 15,2.79,301.5
2018-10-10 16,2.8,303
2018-10-10 17,2.8,303.5
2018-10-10 18,2.8,303.5
2018-10-10 19,2.79,302
2018-10-10 20,2.79,302
2018-10-10 21,2.79,302
2018-10-10 22,2.79,301.5
2018-10-10 23,2.78,300.5
2018-10-11 00,2.79,301
2018-10-11 01,2.91,323.5
2018-10-11 02,3.77,488.25
2018-10-11 03,4.04,543
2018-10-11 04,4.06,548.25
2018-10-11 05,4.06,549.5
2018-10-11 06,4.06,548.75
2018-10-11 07,4.07,550
2018-10-11 08,4.07,551.5
2018-10-11 09,4.07,551
2018-10-11 10,4.07,551
2018-10-11 11,4.07,551
2018-10-11 12,4.06,548.75
2018-10-11 13,4.06,549
2018-10-11 14,4.06,549.5
2018-10-11 15,4.06,549.5
2018-10-11 16,4.06,549
2018-10-11 17,4.05,546
2018-10-11 18,4.05,546
2018-10-11 19,4.05,545.5
2018-10-11 20,4.05,546.25
2018-10-11 21,4.05,545.5
2018-10-11 22,4.05,545.75
2018-10-11 23,4.04,544.5
2018-10-12 00,4.05,546.25
2018-10-12 01,4.05,546.5
2018-10-12 02,4.06,549
2018-10-12 03,4.06,548.75
2018-10-12 04,4.06,549
2018-10-12 05,4.07,550.5
2018-10-12 06,4.07,551.5
2018-10-12 07,4.07,551.5
2018-10-12 08,4.08,552
2018-10-12 09,4.06,548
2018-10-12 10,4.05,546.75
2018-10-12 11,4.05,546.75
2018-10-12 12,4.05,546.75
2018-10-12 13,4.05,546.25
2018-10-12 14,4.06,548.25
2018-10-12 15,4.05,547.5
2018-10-12 16,4.04,544.5
2018-10-12 17,4.05,545.5
2018-10-12 18,4.04,544.5
2018-10-12 19,4.04,543.5
2018-10-12 20,4.04,543.5
2018-10-12 21,4.04,543
2018-10-12 22,4.04,544.5
2018-10-12 23,4.04,545
2018-10-13 00,4.05,546
2018-10-13 01,4.06,547.75
2018-10-13 02,4.05,547.5
2018-10-13 03,4.05,547.5
2018-10-13 04,4.06,549
2018-10-13 05,4.07,551
2018-10-13 06,4.07,551.5
2018-10-13 07,4.07,551
2018-10-13 08,4.07,551.5
2018-10-13 09,4.08,552
2018-10-13 10,4.07,551
2018-10-13 11,4.07,551
2018-10-13 12,4.07,551
2018-10-13 13,4.07,551
2018-10-13 14,4.07,550
2018-10-13 15,4.06,549.5
2018-10-13 16,4.06,548.75
2018-10-13 17,4.05,547.5
2018-10-13 18,4.05,547
2018-10-13 19,4.05,546
2018-10-13 20,4.05,545.5
2018-10-13 21,4.05,546.25
2018-10-13 22,4.05,545.5
2018-10-13 23,4.05,546
2018-10-14 00,4.05,545.5
2018-10-14 01,4.05,547.5
2018-10-14 02,4.05,546.75
2018-10-14 03,4.05,547.5
2018-10-14 04,4.06,549.5
2018-10-14 05,4.06,548.75
2018-10-14 06,4.08,552.5
2018-10-14 07,4.06,549.5
2018-10-14 08,4.08,552
2018-10-14 09,4.07,551.5
2018-10-14 10,4.07,551.5
2018-10-14 11,4.05,546.25
2018-10-14 12,4.05,545.5
2018-10-14 13,4.04,545
2018-10-14 14,4.05,545.5
2018-10-14 15,4.04,545
2018-10-14 16,4.04,543.5
2018-10-14 17,4.04,545
2018-10-14 18,4.05,546.75
2018-10-14 19,4.05,546.75
2018-10-14 20,4.05,545.5
2018-10-14 21,4.04,544.5
2018-10-14 22,4.04,544.5
2018-10-14 23,4,536
2018-10-15 00,3.66,464.75
2018-10-15 01,3.38,410
2018-10-15 02,3.34,403
2018-10-15 03,3.34,402
2018-10-15 04,3.32,398.5
2018-10-15 05,3.32,398
2018-10-15 06,3.34,401
2018-10-15 07,3.35,403.5
2018-10-15 08,3.35,403.5
2018-10-15 09,3.35,403.5
2018-10-15 10,3.34,403
2018-10-15 11,3.35,403.5
2018-10-15 12,3.35,403.5
2018-10-15 13,3.34,403
2018-10-15 14,3.35,404
2018-10-15 15,3.35,404
2018-10-15 16,3.34,403
2018-10-15 17,3.34,403
2018-10-15 18,3.34,402.5
2018-10-15 19,3.34,402
2018-10-15 20,3.43,420
2018-10-15 21,3.88,510
2018-10-15 22,4.02,539.25
2018-10-15 23,4.03,541.5
2018-10-16 00,4.03,542
2018-10-16 01,4.04,544.5
2018-10-16 02,4.05,546.25
2018-10-16 03,4.05,546.75
2018-10-16 04,4.05,547.5
2018-10-16 05,4.06,548.25
2018-10-16 06,4.05,547.5
2018-10-16 07,4.05,547.5
2018-10-16 08,4.06,548.25
2018-10-16 09,4.06,548.75
2018-10-16 10,4.06,547.5
2018-10-16 11,4.06,549
2018-10-16 12,4.06,548.25
2018-10-16 13,4.05,547.5
2018-10-16 14,4.05,545.5
2018-10-16 15,4.04,545
2018-10-16 16,4.04,544.5
2018-10-16 17,4.04,543
2018-10-16 18,4.04,543
2018-10-16 19,4.04,544
2018-10-16 20,4.05,545.5
2018-10-16 21,4.05,546
2018-10-16 22,4.04,545
2018-10-16 23,4.05,545.5
2018-10-17 00,4.05,546.75
2018-10-17 01,4.05,546.75
2018-10-17 02,4.06,548.25
2018-10-17 03,4.06,549
2018-10-17 04,4.06,548
2018-10-17 05,4.06,548.25
2018-10-17 06,4.07,550.5
2018-10-17 07,4.07,550
2018-10-17 08,4.07,551.5
2018-10-17 09,4.08,552.5
2018-10-17 10,4.08,553
2018-10-17 11,4.07,551.5
2018-10-17 12,4.07,551.5
2018-10-17 13,4.08,552.5
2018-10-17 14,4.08,552.5
2018-10-17 15,4.07,551.5
2018-10-17 16,4.07,550.5
2018-10-17 17,4.06,549
2018-10-17 18,4.06,548
2018-10-17 19,4.06,548.25
2018-10-17 20,4.06,548.25
2018-10-17 21,4.05,546.75
2018-10-17 22,4.05,546.75
2018-10-17 23,4.05,547.5
2018-10-18 00,4.05,547.25
2018-10-18 01,4.06,549
2018-10-18 02,4.06,548.25
2018-10-18 03,4.06,549
2018-10-18 04,4.07,550
2018-10-18 05,4.07,550.5
2018-10-18 06,4.07,551.5
2018-10-18 07,4.07,550.5
2018-10-18 08,4.06,548.25
2018-10-18 09,4.06,548
2018-10-18 10,4.06,548.25
2018-10-18 11,4.05,546.75
2018-10-18 12,4.06,549.25
2018-10-18 13,4.05,547.5
2018-10-18 14,4.05,546.25
2018-10-18 15,4.05,547.5
2018-10-18 16,4.04,545
2018-10-18 17,4.04,544.5
2018-10-18 18,4.04,543.5
2018-10-18 19,4.04,543.5
2018-10-18 20,4.04,551.75
2018-10-18 21,4.04,553.5
2018-10-18 22,4.05,555.5
2018-10-18 23,4.05,554.5
2018-10-19 00,4.05,555.5
2018-10-19 01,4.05,556
2018-10-19 02,4.06,557
2018-10-19 03,4.06,557
2018-10-19 04,4.04,554
2018-10-19 05,4.04,552
2018-10-19 06,4.03,550.5
2018-10-19 07,4.03,550.5
2018-10-19 08,4.03,550.5
2018-10-19 09,4.03,550.5
2018-10-19 10,4.03,550.5
2018-10-19 11,4.03,550.5
2018-10-19 12,4.02,549.25
2018-10-19 13,4.02,548.75
2018-10-19 14,4.01,546.75
2018-10-19 15,4.02,549
2018-10-19 16,4.03,551
